
text,label
"Urgent: action required to secure your account. Verify now. #166",phishing
"Free gift redemption — follow this link to claim. #167",phishing
"Verify your information to receive a payment. Click here. #168",phishing
"Click here to reset credentials and secure your profile. #169",phishing
"Security alert: confirm this login attempt by clicking here. #170",phishing
"Free reward waiting — verify now to obtain it. #171",phishing
"Verify your payment method to process your refund. Click here. #172",phishing
"Urgent: confirm account details to lift restrictions. #173",phishing
"Click here to claim a special reward available to few users. #174",phishing
"Free trial and bonus — activate by clicking here. #175",phishing
"Verify your identity to receive urgent notice. Click here. #176",phishing
"Click here to confirm your details for prize delivery. #177",phishing
"Security notice: update your credentials immediately. #178",phishing
"Free offer inside — click to view and claim. #179",phishing
"Verify account now to prevent cancellation. Click here. #180",phishing
"Click here to claim your bonus credit package. #181",phishing
"Urgent verification required: confirm payment info. #182",phishing
"Free gift card link — click to claim. #183",phishing
"Verify your identity to receive a limited-time offer. #184",phishing
"Click here to accept your prize and verify shipping. #185",phishing
"Security alert: reset password to secure account. Click here. #186",phishing
"Free rewards available — claim via this link. #187",phishing
"Verify your account details to release funds. Click here. #188",phishing
"Click here to confirm your recent transaction and verify identity. #189",phishing
"Urgent: validate your credentials to avoid account lock. #190",phishing
"Free prize notification — click to claim now. #191",phishing
"Verify your contact details to receive your package. Click here. #192",phishing
"Click here to reset password and re-enable access. #193",phishing
"Security alert: please verify your account activity. Click here. #194",phishing
"Free prize claim — follow link and provide details. #195",phishing
"Verify your payment to process urgent transaction. Click here. #196",phishing
"Urgent: confirm your identity to release payment. Click here. #197",phishing
"Click here to claim your free voucher before it expires. #198",phishing
"Verify your account for priority support. Click here. #199",phishing
"Free membership reward — claim by clicking here. #200",phishing
"Click here to secure your account and verify identity. #201",phishing
"Urgent notification: update billing information now. #202",phishing
"Verify your details to receive an important financial notice. Click here. #203",phishing
"Free gift card waiting — click here to claim your reward. #204",phishing
"Click here to confirm your prize winnings and verify shipping. #205",phishing
"Security alert: confirm account changes to prevent fraud. Click here. #206",phishing
"Verify your information to receive a compensation. Click link. #207",phishing
"Free offer: click here to enroll and claim benefits. #208",phishing
"Urgent action needed: confirm account ownership by clicking here. #209",phishing
"Click here to verify your identity and get exclusive access. #210",phishing
"Verify payment details to receive refund notice. Click here. #211",phishing
"Free reward available — click to accept and verify shipping. #212",phishing
"Security: verify your login attempt via this link to stay secure. #213",phishing
"Click here to claim your promotional gift card. #214",phishing
"Urgent verification required to process your request. Click here. #215",phishing
"Free bonus reward — click link to receive details. #216",phishing
"Verify your account now to unlock a special offer. Click here. #217",phishing
"Click here to confirm your payment and avoid interruption. #218",phishing
"Security notice: reset your password using the provided link. #219",phishing
"Free contest entry — follow link to submit details. #220",phishing
"Verify your identity to receive immediate assistance. Click here. #221",phishing
"Click here to claim gift voucher assigned to your account. #222",phishing
"Urgent: update payment information to prevent closure. Click here. #223",phishing
"Free prize inside — verify now by clicking the link. #224",phishing
"Verify your account for a pending reward. Click here. #225",phishing
"Click here to confirm the delivery and provide address. #226",phishing
"Security alert: immediate verification required via this link. #227",phishing
"Free coupon code — click here to redeem. #228",phishing
"Verify payment method to complete your refund. Click here. #229",phishing
"Click here to confirm account recovery and reset password. #230",phishing
"Urgent: your benefits require verification. Click here. #231",phishing
"Free reward offer — claim now via this link. #232",phishing
"Verify your contact to receive urgent notifications. Click here. #233",phishing
"Click here to accept your prize and verify identity. #234",phishing
"Security message: confirm this activity using the provided link. #235",phishing
"Free bonus available — click to activate and claim. #236",phishing
"Verify your account now to continue services. Click here. #237",phishing
"Click here to claim a reward from our partner. #238",phishing
"Urgent action: confirm your identity to receive payment. Click here. #239",phishing
"Free offer waiting — follow link to claim. #240",phishing
"Verify your account to receive a special delivery. Click here. #241",phishing
"Click here to confirm your prize and provide tax info. #242",phishing
"Security alert: verify account access to avoid lockout. #243",phishing
"Free credits available — click to add to your account. #244",phishing
"Verify payment details to accept funds. Click here. #245",phishing
"Click here to confirm your registration and claim a bonus. #246",phishing
"Urgent: verify your details to receive an important notice. #247",phishing
"Free giveaway — click here to enter and claim. #248",phishing
"Verify your address to receive your package. Click here. #249",phishing
"Click here to claim your free membership reward. #250",phishing

"Meeting invitation: Project sync meeting scheduled. Please review agenda.",legitimate
"Project update: Completed tasks for sprint 1. See details attached.",legitimate
"Invoice attached: Invoice #1 for services rendered. Please process.",legitimate
"Holiday announcement: Office closed next Friday for public holiday.",legitimate
"Team lunch planned for next Wednesday. RSVP if you can attend.",legitimate
"Weekly report: Summary of metrics and progress for week 1.",legitimate
"Event confirmation: Your registration is confirmed. Details inside.",legitimate
"Reminder: Performance review meeting scheduled on Friday.",legitimate
"Newsletter: Company updates and news for subscribers.",legitimate
"Minutes attached: Notes from today's client meeting.",legitimate
"Meeting invitation: Calendar invite for design review attached.",legitimate
"Project update: New feature branch merged into main. See changelog.",legitimate
"Invoice attached: Please find invoice #2 for this month's services.",legitimate
"Holiday announcement: Annual shutdown scheduled for next month.",legitimate
"Team outing details: RSVP and transport information.",legitimate
"Weekly report: Team accomplishments and blockers.",legitimate
"Event confirmation: Your seat is reserved for the webinar.",legitimate
"Reminder: Submit expenses by end of week for reimbursement.",legitimate
"Newsletter: Product tips and best practices edition.",legitimate
"Minutes attached: Action items and owners from the meeting.",legitimate
"Meeting invitation: Q3 planning session invite enclosed.",legitimate
"Project update: Documentation updated with latest API changes.",legitimate
"Invoice attached: Invoice #3 for your review and payment.",legitimate
"Holiday announcement: Office hours will vary next week.",legitimate
"Team lunch: Menu and dietary options listed. Please confirm.",legitimate
"Weekly report: Key outcomes and next steps.",legitimate
"Event confirmation: Thank you for registering for the conference.",legitimate
"Reminder: Training session starts at 10:00 AM tomorrow.",legitimate
"Newsletter: Highlights from last month's initiatives.",legitimate
"Minutes attached: Summary of engineering retrospective.",legitimate
"Meeting invitation: Client onboarding call details attached.",legitimate
"Project update: Beta release deployed to staging environment.",legitimate
"Invoice attached: Billing statement for account #4.",legitimate
"Holiday announcement: Company picnic scheduled for summer.",legitimate
"Team outing: Volunteer signup for charity event.",legitimate
"Weekly report: Sales numbers and pipeline updates.",legitimate
"Event confirmation: Workshop registration confirmed.",legitimate
"Reminder: Please complete the satisfaction survey.",legitimate
"Newsletter: Team spotlight and recognition.",legitimate
"Minutes attached: Procurement meeting notes.",legitimate
"Meeting invitation: All-hands meeting invite.",legitimate
"Project update: Roadmap changes and timelines updated.",legitimate
"Invoice attached: Invoice #5 due in 30 days.",legitimate
"Holiday announcement: Observance day for staff.",legitimate
"Team lunch: Venue change notification.",legitimate
"Weekly report: Customer feedback summary.",legitimate
"Event confirmation: Ticket information inside.",legitimate
"Reminder: Goal-setting workshop next week.",legitimate
"Newsletter: Security best practices and tips.",legitimate
"Minutes attached: Budget planning meeting notes.",legitimate
"Meeting invitation: Design handoff meeting scheduled.",legitimate
"Project update: Performance improvements deployed.",legitimate
"Invoice attached: Please review and confirm payment.",legitimate
"Holiday announcement: Office closed for observance.",legitimate
"Team lunch: Final headcount requested by Friday.",legitimate
"Weekly report: Marketing campaign metrics.",legitimate
"Event confirmation: Webinar link and joining instructions.",legitimate
"Reminder: Code freeze starts next Monday.",legitimate
"Newsletter: Upcoming feature highlights.",legitimate
"Minutes attached: Sales enablement meeting notes.",legitimate
"Meeting invitation: Sprint planning invite attached.",legitimate
"Project update: Database migration completed successfully.",legitimate
"Invoice attached: Billing statement for client account.",legitimate
"Holiday announcement: Office closure for maintenance.",legitimate
"Team outing: Charity run registration details.",legitimate
"Weekly report: Support ticket trends and resolutions.",legitimate
"Event confirmation: Conference badge and schedule.",legitimate
"Reminder: Submit quarterly goals by end of month.",legitimate
"Newsletter: Leadership message and company news.",legitimate
"Minutes attached: Product planning meeting summary.",legitimate
"Meeting invitation: Feedback session for beta users.",legitimate
"Project update: UI enhancements now available.",legitimate
"Invoice attached: Statement for subscription renewal.",legitimate
"Holiday announcement: Reduced hours during the holiday period.",legitimate
"Team lunch: Dietary preferences request.",legitimate
"Weekly report: Development sprint summary.",legitimate
"Event confirmation: Training materials and schedule.",legitimate
"Reminder: Team town hall starts at 3 PM.",legitimate
"Newsletter: Developer tips and tools.",legitimate
"Minutes attached: Cross-functional kickoff notes.",legitimate
"Meeting invitation: One-on-one meeting scheduled.",legitimate
"Project update: Customer support SLA changes communicated.",legitimate
"Invoice attached: Please see attached billing invoice #6.",legitimate
"Holiday announcement: Observed public holiday next month.",legitimate
"Team outing: Picnic logistics and RSVP.",legitimate
"Weekly report: Feature adoption statistics.",legitimate
"Event confirmation: Registration and access details provided.",legitimate
"Reminder: Complete mandatory compliance training.",legitimate
"Newsletter: Security patch rollout schedule.",legitimate
"Minutes attached: HR policy update meeting.",legitimate
"Meeting invitation: Product demo session invite.",legitimate
"Project update: Migration timeline and checkpoints.",legitimate
"Invoice attached: Payment reminder for invoice #7.",legitimate
"Holiday announcement: Office closed for national holiday.",legitimate
"Team lunch: Confirm attendance by EOD.",legitimate
"Weekly report: Operations summary and KPIs.",legitimate
"Event confirmation: Meetup location and time.",legitimate
"Reminder: Vendor onboarding documents required.",legitimate
"Newsletter: Customer success stories and highlights.",legitimate
"Minutes attached: Engineering all-hands notes.",legitimate
"Meeting invitation: Security review meeting scheduled.",legitimate
"Project update: Analytics dashboard refreshed with new data.",legitimate
"Invoice attached: Invoice #8 for your records.",legitimate
"Holiday announcement: Office scheduling update.",legitimate
"Team outing: Schedule and meetup point.",legitimate
"Weekly report: Backend performance and incidents.",legitimate
"Event confirmation: Speaker lineup and agenda.",legitimate
"Reminder: Submit time-off requests for next quarter.",legitimate
"Newsletter: Product roadmap announcements.",legitimate
"Minutes attached: Client success meeting summary.",legitimate
"Meeting invitation: Planning session for Q4 initiatives.",legitimate
"Project update: Documentation revisions and links.",legitimate
"Invoice attached: Final invoice for contract #9.",legitimate
"Holiday announcement: Company holiday schedule posted.",legitimate
"Team lunch: New venue information included.",legitimate
"Weekly report: QA pass rates and defect counts.",legitimate
"Event confirmation: Workshop materials and access.",legitimate
"Reminder: Update your contact information in HR portal.",legitimate
"Newsletter: Engineering blog and updates.",legitimate
"Minutes attached: Product strategy meeting notes.",legitimate
"Meeting invitation: Design critique scheduled tomorrow.",legitimate
"Project update: Release notes and changelog attached.",legitimate
"Invoice attached: Monthly billing for subscription services.",legitimate
"Holiday announcement: Early office closure on Friday.",legitimate
"Team outing: Charity volunteering details enclosed.",legitimate
"Weekly report: Customer satisfaction scores.",legitimate
"Event confirmation: Confirmation email with ticket attached.",legitimate
"Reminder: Security training completion due soon.",legitimate
"Newsletter: Company milestones and achievements.",legitimate
"Minutes attached: Architecture review meeting summary.",legitimate
"Meeting invitation: Remote workshop link and instructions.",legitimate
"Project update: Continuous integration pipeline fixed.",legitimate
"Invoice attached: Statement for services provided in June.",legitimate
"Holiday announcement: Office closed for observance day.",legitimate
"Team lunch: Final menu choices requested.",legitimate
"Weekly report: Marketing campaign performance overview.",legitimate
"Event confirmation: Access link and instructions provided.",legitimate
"Reminder: Please complete the survey sent earlier.",legitimate
"Newsletter: New hire introductions and bios.",legitimate
"Minutes attached: Sales meeting action items.",legitimate
"Meeting invitation: Quarterly business review meeting.",legitimate
"Project update: Security patch applied successfully.",legitimate
"Invoice attached: Payment details for invoice #10.",legitimate
"Holiday announcement: Seasonal hours and support times.",legitimate
"Team outing: Parking and meetup details.",legitimate
"Weekly report: Engineering velocity and metrics.",legitimate
"Event confirmation: Speaker resources and slides attached.",legitimate
"Reminder: Update project status in the tracker.",legitimate
"Newsletter: Tips for remote collaboration.",legitimate
"Minutes attached: Product launch checklist and owners.",legitimate
"Meeting invitation: Follow-up meeting for stakeholder feedback.",legitimate
"Project update: UX improvements released to production.",legitimate
"Invoice attached: Billing statement for client services.",legitimate
"Holiday announcement: Office closed for public holiday next week.",legitimate
"Team lunch: Dietary needs survey reminder.",legitimate
"Weekly report: Customer onboarding metrics.",legitimate
"Event confirmation: Registration confirmation and details.",legitimate
"Reminder: Complete your timesheet by Friday evening.",legitimate
"Newsletter: Best practices for code reviews.",legitimate
"Minutes attached: Cross-team sync summary.",legitimate
"Meeting invitation: Town hall invite and agenda.",legitimate
"Project update: Backend bug fixes deployed.",legitimate
"Invoice attached: Please review invoice #11 at your convenience.",legitimate
"Holiday announcement: Company holiday calendar updated.",legitimate
"Team outing: Volunteer event and signup link.",legitimate
"Weekly report: Support escalations and resolutions.",legitimate
"Event confirmation: Networking event details enclosed.",legitimate
"Reminder: Policies updated in the employee handbook.",legitimate
"Newsletter: Engineering highlights and tips.",legitimate
"Minutes attached: Compliance training summary.",legitimate
"Meeting invitation: Review meeting for the new design.",legitimate
"Project update: Monitoring improvements and alerts added.",legitimate
"Invoice attached: Statement for past month services.",legitimate
"Holiday announcement: Closure for annual observance.",legitimate
"Team lunch: Event canceled due to scheduling conflict.",legitimate
"Weekly report: Financial summary and forecasts.",legitimate
"Event confirmation: Confirmation and access code provided.",legitimate
"Reminder: Submit feedback for the new policy draft.",legitimate
"Newsletter: Product tips and user stories.",legitimate
"Minutes attached: Retrospective action items.",legitimate
"Meeting invitation: Client demo scheduled at 2 PM.",legitimate
"Project update: Performance optimizations completed.",legitimate
"Invoice attached: Final notice for invoice #12.",legitimate
"Holiday announcement: Observance details for upcoming break.",legitimate
"Team outing: RSVP reminder for next Friday.",legitimate
"Weekly report: Deployment summary and health checks.",legitimate
"Event confirmation: Workshop materials and credentials.",legitimate
"Reminder: Complete mandatory security checklist.",legitimate
"Newsletter: Company events and upcoming conferences.",legitimate
"Minutes attached: Strategy planning session notes.",legitimate
"Meeting invitation: Onsite visit scheduled next month.",legitimate
"Project update: API changes and migration notes.",legitimate
"Invoice attached: Billing record for client account #13.",legitimate
"Holiday announcement: Early closure for staff event.",legitimate
"Team lunch: Catering details and menu options.",legitimate
"Weekly report: Product usage and engagement metrics.",legitimate
"Event confirmation: Your registration has been processed.",legitimate
"Reminder: Update your emergency contact information.",legitimate
"Newsletter: Team achievements and recognition.",legitimate
"Minutes attached: Meeting recap and decisions made.",legitimate
"Meeting invitation: Partner sync call scheduled.",legitimate
"Project update: Documentation changes pushed to repo.",legitimate
"Invoice attached: Statement for services rendered in July.",legitimate
"Holiday announcement: Office schedule for the holiday period.",legitimate
"Team outing: Logistics for the company retreat.",legitimate
"Weekly report: QA summaries and release notes.",legitimate
"Event confirmation: Agenda and speaker details included.",legitimate
"Reminder: Update your project timelines in the tracker.",legitimate
"Newsletter: Security reminders and suggested practices.",legitimate
"Minutes attached: Budget review meeting notes.",legitimate
"Meeting invitation: Product roadmap discussion invite.",legitimate
"Project update: Server maintenance completed successfully.",legitimate
"Invoice attached: Invoice #14 for monthly services.",legitimate
"Holiday announcement: Company observance scheduled next week.",legitimate
"Team lunch: Transportation and meetup suggestions.",legitimate
"Weekly report: Customer success metrics and highlights.",legitimate
"Event confirmation: Tickets and joining details provided.",legitimate
"Reminder: Submit your end-of-quarter reports soon.",legitimate
"Newsletter: Engineering news and releases.",legitimate
"Minutes attached: Sales pipeline review notes.",legitimate
"Meeting invitation: Design sync and review scheduled.",legitimate
"Project update: Feature flag rollout details.",legitimate
"Invoice attached: Billing information for subscription renewal.",legitimate
"Holiday announcement: Observance day and schedule shared.",legitimate
"Team outing: RSVP and dietary preferences requested.",legitimate
"Weekly report: Release readiness and deployment notes.",legitimate
"Event confirmation: Your registration details are attached.",legitimate
"Reminder: Complete the customer feedback form.",legitimate
"Newsletter: Company culture highlights and news.",legitimate
"Minutes attached: Technical design discussion summary.",legitimate
"Meeting invitation: Budget planning and allocation meeting.",legitimate
"Project update: Security audits completed with findings.",legitimate
"Invoice attached: Payment request for outstanding balance.",legitimate
"Holiday announcement: Office closed for public holiday next month.",legitimate
"Team lunch: Time and location confirmed. See details.",legitimate
"Weekly report: Incident response summary and follow-ups.",legitimate
"Event confirmation: Details for the upcoming meetup included.",legitimate
"Reminder: Update your profile on the internal directory.",legitimate
"Newsletter: Product release notes and highlights.",legitimate
"Minutes attached: Customer interview notes and insights.",legitimate
"Meeting invitation: Internal demo session scheduled tomorrow.",legitimate
"Project update: Rollback plan and mitigation steps documented.",legitimate
"Invoice attached: Final invoice for project deliverables.",legitimate
"Holiday announcement: Adjusted office hours for the season.",legitimate
"Team outing: Volunteer event logistics and signup.",legitimate
"Weekly report: Team velocity and issue tracker summary.",legitimate
"Event confirmation: Access link has been emailed to you.",legitimate
"Reminder: Complete your mandatory compliance course this week.",legitimate
"Newsletter: Upcoming product webinars and sessions.",legitimate
"Minutes attached: Product prioritization meeting notes.",legitimate
"Meeting invitation: Kickoff meeting for the new initiative.",legitimate
"Project update: Release candidate deployed to staging environment.",legitimate
"Invoice attached: Billing notice for service period ending soon.",legitimate
"Holiday announcement: Company holiday calendar posted online.",legitimate
"Team lunch: Final reminder to RSVP for seating.",legitimate
